"","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","MW","S","NE","W","ID"
"1",2014,1.81,1.826,1.872,1.955,1.746,1.807,1.821,1.916,1.85,1.834,1.934,2.117,1,0,0,0,"2014 1"
"2",2015,1.934,1.902,2.019,1.869,1.838,2.476,2.473,3.02,2.997,2.642,2.396,2.569,1,0,0,0,"2015 1"
"3",2016,2.216,2.188,1.917,1.484,1.407,1.335,1.379,1.279,1.333,1.176,1.189,1.241,1,0,0,0,"2016 1"
"4",2017,1.519,1.29,1.239,1.276,1.216,1.047,1.061,1.093,1.182,1.296,1.249,1.575,1,0,0,0,"2017 1"
"5",2018,1.584,1.626,1.586,1.881,1.76,1.471,1.56,1.491,1.434,1.477,1.439,1.386,1,0,0,0,"2018 1"
"6",2019,1.406,1.375,1.43,1.343,1.272,1.07,1.092,1.091,1.172,1.152,1.253,1.264,1,0,0,0,"2019 1"
"7",2020,1.219,1.254,1.385,1.683,1.412,1.351,1.256,1.156,1.226,1.285,1.324,1.355,1,0,0,0,"2020 1"
"8",2021,1.402,1.452,1.52,1.471,1.518,1.578,1.611,1.638,1.827,1.747,1.658,1.801,1,0,0,0,"2021 1"
"9",2022,1.792,1.891,1.858,2.425,2.874,2.612,2.745,2.811,2.808,3.145,3.387,4.111,1,0,0,0,"2022 1"
"10",2023,4.441,3.745,3.159,2.858,2.356,2.076,1.99,1.934,1.976,2.072,2.059,2.392,1,0,0,0,"2023 1"
"11",2024,2.342,2.908,2.757,2.589,2.456,2.618,NA,NA,NA,NA,NA,NA,1,0,0,0,"2024 1"
"12",2014,2.11,2.144,2.256,2.253,2.216,2.136,2.094,2.023,2.049,2.03,2.076,2.242,0,1,0,0,"2014 2"
"13",2015,2.274,2.262,2.218,2.223,2.08,2.678,2.736,2.93,3.017,3.052,2.898,2.924,0,1,0,0,"2015 2"
"14",2016,2.365,2.295,2.193,2.029,1.857,1.55,1.59,1.479,1.518,1.443,1.288,1.382,0,1,0,0,"2016 2"
"15",2017,1.565,1.436,1.402,1.364,1.316,1.314,1.337,1.354,1.457,1.559,1.52,1.827,0,1,0,0,"2017 2"
"16",2018,1.723,1.681,1.774,2.097,2.027,1.522,1.628,1.536,1.517,1.516,1.551,1.594,0,1,0,0,"2018 2"
"17",2019,1.513,1.546,1.467,1.379,1.256,1.144,1.185,1.1,1.357,1.201,1.343,1.508,0,1,0,0,"2019 2"
"18",2020,1.427,1.393,1.442,2.138,1.523,1.43,1.294,1.163,1.199,1.218,1.394,1.367,0,1,0,0,"2020 2"
"19",2021,1.331,1.548,1.505,1.53,1.486,1.524,1.496,1.562,1.653,1.634,1.453,1.459,0,1,0,0,"2021 2"
"20",2022,1.835,1.849,1.905,2.267,2.6,2.524,2.736,3.034,2.653,3.122,3.272,3.951,0,1,0,0,"2022 2"
"21",2023,4.775,4.157,3.196,3.078,2.312,1.935,1.804,1.732,1.785,1.754,1.809,2.251,0,1,0,0,"2023 2"
"22",2024,2.28,2.712,2.81,2.642,2.479,2.352,NA,NA,NA,NA,NA,NA,0,1,0,0,"2024 2"
"23",2016,NA,NA,NA,NA,2.109,1.823,1.933,1.939,1.773,1.83,1.751,1.743,0,0,1,0,"2016 3"
"24",2017,1.881,1.963,1.793,1.816,2.074,2.027,1.953,2.026,1.911,2.087,2.089,2.331,0,0,1,0,"2017 3"
"25",2018,2.342,2.228,2.578,2.514,2.465,2.254,2.343,2.177,2.18,2.162,2.142,2.146,0,0,1,0,"2018 3"
"26",2019,2.046,2.059,2.055,2.023,NA,NA,NA,NA,NA,1.679,NA,2.012,0,0,1,0,"2019 3"
"27",2020,1.88,1.87,1.9,2.383,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"2020 3"
"28",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.914,1.986,0,0,1,0,"2021 3"
"29",2022,1.999,2.146,2.221,2.855,3.113,2.926,3.295,3.442,3.136,4.015,4.172,4.788,0,0,1,0,"2022 3"
"30",2023,5.272,4.776,4.033,3.907,3.359,2.642,2.414,2.331,2.348,2.27,2.456,2.811,0,0,1,0,"2023 3"
"31",2024,2.877,3.348,3.385,3.328,3.211,3.164,NA,NA,NA,NA,NA,NA,0,0,1,0,"2024 3"
"32",2014,2.212,2.269,2.283,2.298,2.183,2.194,2.229,2.195,2.271,2.205,2.046,2.664,0,0,0,1,"2014 4"
"33",2015,3.012,2.926,2.761,2.648,2.64,3.252,3.409,3.808,3.635,3.424,3.341,3.24,0,0,0,1,"2015 4"
"34",2016,2.99,3.204,2.657,2.539,2.663,2.391,2.414,2.094,2.223,NA,NA,NA,0,0,0,1,"2016 4"
"35",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,"2017 4"
"36",2018,2.568,NA,NA,NA,2.561,2.392,2.456,2.573,2.251,2.166,2.283,2.127,0,0,0,1,"2018 4"
"37",2019,2.249,2.248,2.19,2.172,1.937,1.968,2.066,1.903,2.176,1.928,1.99,2.182,0,0,0,1,"2019 4"
"38",2020,2.171,2.2,2.189,2.407,2.268,2.16,2.118,2.116,2.098,2.046,2.058,2.116,0,0,0,1,"2020 4"
"39",2021,2.075,2.112,2.106,2.18,2.111,1.984,2.066,2.09,2.083,2.158,2.165,2.265,0,0,0,1,"2021 4"
"40",2022,2.344,2.468,2.55,2.917,3.028,3.006,3.074,3.326,3.04,NA,NA,NA,0,0,0,1,"2022 4"
"41",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,"2023 4"
"42",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,"2024 4"
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,"NA 4"
