Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,2.212,2.269,2.283,2.298,2.183,2.194,2.229,2.195,2.271,2.205,2.046,2.664
2015,3.012,2.926,2.761,2.648,2.640,3.252,3.409,3.808,3.635,3.424,3.341,3.240
2016,2.990,3.204,2.657,2.539,2.663,2.391,2.414,2.094,2.223,,,
2017,,,,,,,,,,,,
2018,2.568,,,,2.561,2.392,2.456,2.573,2.251,2.166,2.283,2.127
2019,2.249,2.248,2.190,2.172,1.937,1.968,2.066,1.903,2.176,1.928,1.990,2.182
2020,2.171,2.200,2.189,2.407,2.268,2.160,2.118,2.116,2.098,2.046,2.058,2.116
2021,2.075,2.112,2.106,2.180,2.111,1.984,2.066,2.090,2.083,2.158,2.165,2.265
2022,2.344,2.468,2.550,2.917,3.028,3.006,3.074,3.326,3.040,,,
2023,,,,,,,,,,,,
2024,,,,,,,,,,,,
,,,,,,,,,,,,
